game,id,hours,added,price,metascore,userscore,wilsonscore,sdbrating,userscore_count,release_date,captions available,co-op any,cross-platform multiplayer,downloadable content,early access,geforce now,has_demo,includes level editor,lan co-op,lan pvp,multiplayer any,online co-op,online pvp,remote play any,remote play on phone,remote play on tablet,remote play on tv,remote play together,shared/split screen pvp,single-player,steam achievements,steam cloud,steam trading cards,steam workshop,wsgf 4k,wsgf mm,wsgf uw,wsgf ws,1980s,2d,2d fighter,2d platformer,3d,3d platformer,4x,action,action roguelike,action rpg,action-adventure,adventure,america,anime,arcade,assassin,atmospheric,automation,automobile sim,base building,board game,building,capitalism,card battler,card game,cartoon,cartoony,casual,character customization,choices matter,cinematic,city builder,class-based,co-op,co-op campaign,colony sim,colorful,combat,comedy,controller,conversation,crafting,creature collector,crime,crpg,cute,cyberpunk,dark,dark fantasy,dark humor,dating sim,deckbuilding,design & illustration,detective,difficult,diplomacy,drama,driving,dungeon crawler,dungeons & dragons,early access,economy,emotional,exploration,family friendly,fantasy,female protagonist,first-person,flight,football (american),fps,funny,futuristic,game development,games workshop,god game,gore,gothic,grand strategy,great soundtrack,gun customization,hack and slash,hand-drawn,hex grid,historical,horror,immersive sim,indie,isometric,jrpg,lgbtq+,life sim,linear,local co-op,local multiplayer,loot,looter shooter,lore-rich,lovecraftian,magic,management,massively multiplayer,mature,medieval,military,moddable,modern,movie,multiplayer,multiple endings,musou,mystery,narration,naval,nudity,old school,online co-op,open world,open world survival craft,parkour,party-based rpg,perma death,pirates,pixel graphics,platformer,political,post-apocalyptic,procedural generation,programming,puzzle,pve,pvp,real time tactics,real-time with pause,realistic,relaxing,remake,replay value,resource management,retro,roguelike,roguelike deckbuilder,roguelite,romance,rpg,rts,sandbox,sci-fi,sexual content,shooter,side scroller,simulation,singleplayer,sniper,solitaire,soundtrack,space,sports,stealth,steampunk,story rich,strategy,strategy rpg,stylized,supernatural,survival,survival horror,tabletop,tactical,tactical rpg,team-based,third person,third-person shooter,time management,top-down,trading,trains,transportation,turn-based,turn-based combat,turn-based strategy,turn-based tactics,violent,visual novel,war,world war ii,zombies
Ni no Kuni™ II: Revenant Kingdom,589360,58.016,11/16/2018,39.99,81,83,82,81,7390,3/23/2018,,,,,,,,,,,x,,,x,x,x,x,,,x,x,,x,,,,,,,,,,,,,x,,x,,x,,x,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,x,,x,,,,,,,,,,,,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,
Borderlands Game of the Year,8980,39.383,5/20/2022,29.99,81,93,93,91,18201,8/31/2023,,x,,,,,,,,,x,,,,,,,,,x,x,x,,,x,x,x,x,,,,,,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,x,x,,,,,x,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,x,,,,,,,,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factorio,427520,98.766,8/3/2021,17,90,97,97,96,140492,8/14/2020,,x,x,,,x,x,x,x,,x,x,,x,,x,,,,x,x,x,,,x,x,x,x,,x,,,,,,,,,,,,,,,,x,,x,,x,,,,,,,,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,x,,,x,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,x,x,,,,,,,,,x,,,,x,,,,,,,,,,,x,,,,,,,,,,
Satisfactory,526870,154.666,8/3/2021,29.99,,97,97,96,130019,6/8/2020,,x,x,,x,x,,,,,x,x,,x,,x,,,,x,,x,,,,,,,,,,,,,,,,,,x,,,,,,x,,x,,x,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,x,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,x,,,,x,x,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,
Dishonored®: Death of the Outsider™,614570,12.005,6/8/2021,17.99,81,86,85,84,7947,9/14/2017,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,x,,,,x,,,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,x,x,,,x,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,x,,,,
Movie Studio Tycoon,630440,0,12/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hell Let Loose,686810,95.667,6/22/2021,13.64,79,84,84,83,72732,7/27/2021,,,,,,x,,,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,x,,,,,,,,x,,,x,,,,,,,,,,,,,,x,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,x,,x,x,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,x,x,
TFM: The First Men,700820,8,5/30/2023,9.99,,65,60,62,313,11/2/2022,,,,,x,,,,,,,,,,,,,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,x,,,,,x,,,,,x,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,x,,,,,,x,,,,,,,,x,,,,,x,,,,,,,,,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,
Ni no Kuni Wrath of the White Witch™ Remastered,798460,57.567,10/20/2020,32.99,,85,84,82,2954,9/19/2019,,,,,,,,,,,,,,x,x,x,x,,,x,x,x,x,,,,,,,,,,,,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,x,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,
ONE PIECE ODYSSEY,814000,46.1,2/6/2023,39.99,77,82,81,79,1945,1/12/2023,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,x,,,,,,x,x,,x,,,,,,,,,,,,,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,,,x,x,,,,,,,,x,,,,,,,
Cities: Skylines II,949230,182.3,6/11/2023,29.99,,60,60,60,31567,10/24/2023,,,,,,,,,,,x,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,x,,,,,,x,,,x,,,,,,,,,,,,,,,,,x,x,,,x,,,,,,,,x,,,,,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,
Sniper Ghost Warrior Contracts,973580,14.8,1/8/2021,17.99,71,74,73,72,8992,11/22/2019,,,,,,x,,,,,x,,x,,,,,,,x,x,x,,,,,,,,,,,,,,x,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,x,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,x,,,x,,,x,,,,,,,,,,,,x,,,x,x,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,
The Tenants,1009560,68.25,3/31/2021,10,,82,81,80,5698,3/25/2021,x,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,x,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,x,,,,,x,x,,,,,,,,,x,,x,,,,,,,,,,x,,,,,,,,,,,,,
Transport Fever 2,1066780,62.016,11/28/2022,18.99,76,89,89,87,18523,12/11/2019,,,,,,x,,,,,,,,,,,,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,x,,,,,,,,,,x,,,x,,,,,,,,,,,,,x,,,,,x,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,x,,,,,x,x,,,,,,,,,x,,,,,,,,,,,,,,,x,x,,,,,,,,,
Baldur's Gate 3,1086940,108.933,10/13/2020,34.99,96,96,96,95,475821,8/3/2023,,x,,,,,,,x,,x,x,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,x,,,x,,x,,,x,,x,,,,,x,,,,x,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,x,,,,x,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,
Persona 4 Golden,1113000,185.45,3/1/2021,19.99,87,97,97,95,57116,6/13/2020,,,,,,,,,,,,,,,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,x,x,,,,,,,,,,,,,,,,,x,x,x,,x,x,,,
Ready or Not,1144200,60.783,10/25/2023,28.99,,89,89,88,119565,12/13/2023,,x,,,,x,,,,,x,x,,,,,,,,x,x,x,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,x,,,,,,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,
Crusader Kings III,1158310,174.733,10/19/2020,29.99,91,92,92,91,65929,9/1/2020,,,,,,x,,,,,x,,x,x,,x,,,,x,x,x,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,x,,,,,,,,,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,x,x,x,,,,,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,
Movie World,1284230,0,12/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday Rivals,1297790,7.667,12/8/2022,19.99,,92,89,84,239,5/16/2022,,,,,,,,,,,x,,,x,,,,x,x,x,,,,,,,,,,,,,x,,,x,,,,,x,,x,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mad Games Tycoon 2,1342330,29.3,3/1/2021,8.49,,93,92,90,5332,5/31/2023,,,,,,,,,,x,x,,x,,,,,,,x,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,x,x,,,x,x,x,x,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,
Persona® 5 Strikers,1382330,46.5,3/7/2021,59.99,76,90,90,88,10432,2/22/2021,,,,,,,,,,,,,,,,,,,,x,x,,x,,,,,,,x,,,x,x,,x,,x,x,x,,x,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,x,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,
The Mageseeker: A League of Legends Story™,1457080,112.383,3/8/2023,29.99,78,84,83,81,1905,4/18/2023,,,,,,,x,,,,,,,,,,,,,x,x,x,,,,,,,,x,,,,,,x,x,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,x,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,
